n_context_groups,n_obs,motion_rows,no_motion_rows,adjusted_motion_mean,adjusted_no_motion_mean,adjusted_effect,effect_ci_lower,effect_ci_upper,effect_direction,group_column,group_value,target,target_column,dataset_split
18,13624,6869,6755,0.4804918962056904,0.47527250460419934,0.005219391601491076,-0.0032871120562286684,0.0077642668640814086,unclear,down_bucket,early_down,success,target_success,test
15,5066,2445,2621,0.39302053556291544,0.3936247465631372,-0.0006042110002216299,-0.017043589490395788,0.01924678811005247,unclear,down_bucket,late_down,success,target_success,test
14,13440,6524,6916,0.4407895466489479,0.44016116440765246,0.0006283822412953105,-0.005835581221615633,0.007893170241892122,unclear,distance_bucket,long,success,target_success,test
13,3974,2086,1888,0.4739783667137562,0.47219774062002595,0.001780626093730132,-0.010519798952459953,0.021662433404307256,unclear,distance_bucket,medium,success,target_success,test
6,1276,704,572,0.5716787545342712,0.5305138698696168,0.04116488466465448,0.002605276856398232,0.08452560325739665,helps,distance_bucket,short,success,target_success,test
14,10734,5364,5370,0.4624295429076247,0.45070238110818056,0.011727161799444184,0.0015197549693527076,0.012580286125279377,helps,field_zone,backed_up,success,target_success,test
8,2113,1152,961,0.41435233989400533,0.41442748644492006,-7.514655091476856e-05,-0.042397089068040586,0.028173187416746435,unclear,field_zone,red_zone,success,target_success,test
11,5843,2798,3045,0.46175225385958907,0.47162261357917834,-0.009870359719589133,-0.023249617848520112,-0.0038555545892232307,hurts,field_zone,scoring_range,success,target_success,test
33,18690,9314,9376,0.4567824305547381,0.45314154996342765,0.0036408805913104155,-0.003191446433468376,0.005968051146372194,unclear,pressure_bucket,standard_rush,success,target_success,test
5,1521,833,688,0.48354378277466237,0.4718755881309723,0.011668194643690066,-0.00727473625995331,0.04022294484109071,unclear,score_state,leading_big,success,target_success,test
18,12762,6775,5987,0.4586756360784718,0.4587359142110669,-6.0278132595059154e-05,-0.007193195532383187,0.002269118246060111,unclear,score_state,one_score,success,target_success,test
10,4407,1706,2701,0.44206377713508904,0.4304753941700976,0.011588382964991425,0.009409042063281635,0.025867920484000485,helps,score_state,trailing_big,success,target_success,test
2,335,248,87,0.4632855459544383,0.5147656313029447,-0.051480085348506385,-0.13006756756756754,0.000263157894736854,unclear,qb_location,P,success,target_success,test
28,14632,6811,7821,0.44492320710312033,0.44224640111386837,0.0026768059892520847,-0.0019719816448956593,0.008610186030812097,unclear,qb_location,S,success,target_success,test
5,1890,1260,630,0.49424100926232073,0.5193659710249044,-0.025124961762583636,-0.03855094608807677,-0.005899060570597527,hurts,qb_location,U,success,target_success,test
17,7259,3785,3474,0.46507723120526234,0.45206873385169033,0.013008497353572028,0.008296504442998988,0.02724861692813762,helps,starting_hash,L,success,target_success,test
3,801,399,402,0.45941165096664294,0.4998240458209383,-0.04041239485429539,-0.04604126897554767,-0.03399566124978901,hurts,starting_hash,M,success,target_success,test
16,6615,3327,3288,0.4520862637471442,0.44376448922104483,0.008321774526099335,-0.01840008105730549,0.011451722923192548,unclear,starting_hash,R,success,target_success,test
12,4049,1616,2433,0.41388370314018724,0.41957222424385693,-0.00568852110366971,-0.016192426728927893,0.004773989175396451,unclear,box_bucket,light_box,success,target_success,test
23,11955,6418,5537,0.4701507887124225,0.4669974776461459,0.0031533110662765955,-0.007526814871977487,0.006579644616539167,unclear,box_bucket,standard_box,success,target_success,test
18,13624,6869,6755,0.08714729249072384,0.08131096629254178,0.005836326198182053,0.004920209278745769,0.011232640275573278,helps,down_bucket,early_down,explosive,target_explosive,test
15,5066,2445,2621,0.07785781997150258,0.09392213631659375,-0.016064316345091163,-0.03582112794834361,-0.0007901395597303762,hurts,down_bucket,late_down,explosive,target_explosive,test
14,13440,6524,6916,0.09266095939912294,0.08552984824900314,0.0071311111501198,0.004449389546843249,0.0125268613971674,helps,distance_bucket,long,explosive,target_explosive,test
13,3974,2086,1888,0.06438452389528412,0.08451862162742989,-0.020134097732145764,-0.03763519418168877,-0.010301283877537903,hurts,distance_bucket,medium,explosive,target_explosive,test
6,1276,704,572,0.06308388447114582,0.0769529659368687,-0.013869081465722868,-0.05083166471274653,0.0331318467883691,unclear,distance_bucket,short,explosive,target_explosive,test
14,10734,5364,5370,0.10002475805744156,0.09268131792539845,0.007343440132043128,0.0045598790971147,0.011423598314341976,helps,field_zone,backed_up,explosive,target_explosive,test
8,2113,1152,961,0.002732377407939808,0.003772381746946601,-0.0010400043390067929,-0.002149928377524952,0.001360595411902251,unclear,field_zone,red_zone,explosive,target_explosive,test
11,5843,2798,3045,0.08596323163061766,0.09939719974446828,-0.013433968113850614,-0.014487503344515948,0.008081124336503544,unclear,field_zone,scoring_range,explosive,target_explosive,test
33,18690,9314,9376,0.08462934343869735,0.08472927487155982,-9.99314328624689e-05,0.003176403547140098,0.009005726904479651,unclear,pressure_bucket,standard_rush,explosive,target_explosive,test
5,1521,833,688,0.11922808391897177,0.10759213158776443,0.011635952331207325,-0.023455743284175923,0.040704091881861464,unclear,score_state,leading_big,explosive,target_explosive,test
18,12762,6775,5987,0.08037900900624495,0.08474239315970017,-0.0043633841534552135,5.867677449427902e-05,0.008480228309129098,unclear,score_state,one_score,explosive,target_explosive,test
10,4407,1706,2701,0.08499650562532324,0.07680056584986837,0.008195939775454858,0.0008789726967780137,0.018466099976948147,helps,score_state,trailing_big,explosive,target_explosive,test
2,335,248,87,0.11293041372086934,0.12467930617184349,-0.011748892450974158,-0.04757882882882884,0.01184210526315789,unclear,qb_location,P,explosive,target_explosive,test
28,14632,6811,7821,0.0757475082827503,0.08104760597268902,-0.005300097689938735,-0.005709737289918522,0.0010237775664643438,unclear,qb_location,S,explosive,target_explosive,test
5,1890,1260,630,0.135665201633758,0.12402696071240635,0.011638240921351687,0.002788611398805852,0.02623733359979471,helps,qb_location,U,explosive,target_explosive,test
17,7259,3785,3474,0.09516144949204389,0.08523910434339443,0.009922345148649446,0.01087323876811176,0.02398120788372211,helps,starting_hash,L,explosive,target_explosive,test
3,801,399,402,0.09325455824117733,0.11571511510217684,-0.022460556860999514,-0.028656485774020534,-0.010576474840242838,hurts,starting_hash,M,explosive,target_explosive,test
16,6615,3327,3288,0.08202164760752062,0.08495434591918384,-0.002932698311663222,-0.0030235704732100707,0.007577505719115089,unclear,starting_hash,R,explosive,target_explosive,test
12,4049,1616,2433,0.08026443015323965,0.08418613857208891,-0.003921708418849246,-0.019820469747569507,0.011614796956195932,unclear,box_bucket,light_box,explosive,target_explosive,test
23,11955,6418,5537,0.08615241269229665,0.08720851930106485,-0.0010561066087682027,0.0024853736486909928,0.008704536309265157,unclear,box_bucket,standard_box,explosive,target_explosive,test
18,13624,6869,6755,0.6308793184355479,0.595731914774873,0.035147403660674925,0.02395796077182945,0.04176778510656988,helps,down_bucket,early_down,completion,target_completion,test
15,5066,2445,2621,0.5051545802196277,0.4871412254810791,0.018013354738548728,0.006707075021269682,0.03852930258093708,helps,down_bucket,late_down,completion,target_completion,test
14,13440,6524,6916,0.6114866754648778,0.5782659830083057,0.03322069245657207,0.021680321776795762,0.04249206500000357,helps,distance_bucket,long,completion,target_completion,test
13,3974,2086,1888,0.5466665386566628,0.5343711693912869,0.012295369265375887,-0.010494754195376538,0.04178823099934816,unclear,distance_bucket,medium,completion,target_completion,test
6,1276,704,572,0.5982595571230439,0.5396733670747753,0.058586190048268656,0.009291859860385776,0.09239527894550376,helps,distance_bucket,short,completion,target_completion,test
14,10734,5364,5370,0.6134545509252942,0.5728165267558901,0.040638024169404034,0.040732795854291945,0.044933056275459723,helps,field_zone,backed_up,completion,target_completion,test
8,2113,1152,961,0.5383410302052355,0.4961741729715711,0.04216685723366434,0.005068407829460231,0.06135589343336515,helps,field_zone,red_zone,completion,target_completion,test
11,5843,2798,3045,0.5873484838786187,0.5796817438804317,0.007666739998187138,-0.004950711178387913,0.014437642125788621,unclear,field_zone,scoring_range,completion,target_completion,test
33,18690,9314,9376,0.5968011202653044,0.5662979697795623,0.030503150485742273,0.024106260976990406,0.04041087263900346,helps,pressure_bucket,standard_rush,completion,target_completion,test
5,1521,833,688,0.6081637143999383,0.5771732781712651,0.030990436228673236,0.019775122732626667,0.06016201731174842,helps,score_state,leading_big,completion,target_completion,test
18,12762,6775,5987,0.5986516801901808,0.570255948406802,0.0283957317833788,0.02063944405367843,0.04136843392990191,helps,score_state,one_score,completion,target_completion,test
10,4407,1706,2701,0.5875205776195024,0.5510828421860486,0.03643773543345379,0.03403997388651681,0.042678234760727254,helps,score_state,trailing_big,completion,target_completion,test
2,335,248,87,0.6488020424194816,0.5428737394110528,0.1059283030084287,0.08447368421052637,0.1385135135135135,helps,qb_location,P,completion,target_completion,test
28,14632,6811,7821,0.5937301520724022,0.5633879113379683,0.03034224073443392,0.023354170354515872,0.04460871877204853,helps,qb_location,S,completion,target_completion,test
5,1890,1260,630,0.61951797249648,0.5978693569626775,0.021648615533802602,0.011877893985432124,0.03522337226937711,helps,qb_location,U,completion,target_completion,test
17,7259,3785,3474,0.6112278203685999,0.5716221096549523,0.039605710713647636,0.034025956052839125,0.04874256410537227,helps,starting_hash,L,completion,target_completion,test
3,801,399,402,0.655373237575625,0.6249500858632228,0.030423151712402258,-0.019952476661969767,0.07281156258521959,unclear,starting_hash,M,completion,target_completion,test
16,6615,3327,3288,0.6066554335530476,0.5752750530221841,0.031380380530863575,0.011081904149265243,0.040032025510331214,helps,starting_hash,R,completion,target_completion,test
12,4049,1616,2433,0.5890707686746655,0.5533827461808679,0.03568802249379773,0.02314924924779836,0.058603420736560094,helps,box_bucket,light_box,completion,target_completion,test
23,11955,6418,5537,0.6072779801476595,0.5847227137073879,0.022555266440271633,0.009990127712071252,0.0379112693262731,helps,box_bucket,standard_box,completion,target_completion,test
18,13624,6869,6755,0.0847103192274665,0.09043536384578475,-0.005725044618318272,-0.024370665071275676,0.015327519477741733,unclear,down_bucket,early_down,epa,target_epa,test
15,5066,2445,2621,-0.044129987819426654,-0.05273219576483668,0.008602207945410025,-0.05974707120730734,0.09567647153586731,unclear,down_bucket,late_down,epa,target_epa,test
14,13440,6524,6916,0.04250571010014562,0.04829909142897221,-0.005793381328826595,-0.033183322067912885,0.01961735869425388,unclear,distance_bucket,long,epa,target_epa,test
13,3974,2086,1888,0.05521481686178297,0.09670853221332892,-0.04149371535154594,-0.1141454329418478,0.07585865565862428,unclear,distance_bucket,medium,epa,target_epa,test
6,1276,704,572,0.10958498817171282,-0.053690754334519225,0.163275742506232,0.002633120076580447,0.3740713263540804,helps,distance_bucket,short,epa,target_epa,test
14,10734,5364,5370,0.06352955850183789,0.026471302769594432,0.03705825573224347,0.0008070942541694454,0.044080659417809996,helps,field_zone,backed_up,epa,target_epa,test
8,2113,1152,961,0.02804092335268635,0.07260467253054366,-0.0445637491778573,-0.2205419697821514,0.06794479212472386,unclear,field_zone,red_zone,epa,target_epa,test
11,5843,2798,3045,0.032407003056449404,0.09026073186795204,-0.057853728811502636,-0.0956028378083017,-0.04498668600050124,hurts,field_zone,scoring_range,epa,target_epa,test
33,18690,9314,9376,0.04978763353995656,0.051629218474601876,-0.001841584934645312,-0.024111620422432884,0.014855015128816013,unclear,pressure_bucket,standard_rush,epa,target_epa,test
5,1521,833,688,0.14175260504498452,0.15867703279076498,-0.016924427745780454,-0.06750311374349538,0.05178976178714042,unclear,score_state,leading_big,epa,target_epa,test
18,12762,6775,5987,0.05254586577020474,0.06788818539863185,-0.015342319628427104,-0.039398376570667415,0.006113054145947001,unclear,score_state,one_score,epa,target_epa,test
10,4407,1706,2701,0.010060090680511391,-0.032399976319896565,0.04246006700040795,0.030744122899281856,0.08402062415748908,helps,score_state,trailing_big,epa,target_epa,test
2,335,248,87,0.044836535720663956,0.3956952896877939,-0.3508587539671299,-0.5131588004161615,-0.2439978322952428,hurts,qb_location,P,epa,target_epa,test
28,14632,6811,7821,0.028749884868076076,0.03153677586139388,-0.0027868909933178062,-0.017002573768732116,0.023370715982827625,unclear,qb_location,S,epa,target_epa,test
5,1890,1260,630,0.1311208318452099,0.15313050274105358,-0.022009670895843672,-0.056013460828120726,0.020235599918248273,unclear,qb_location,U,epa,target_epa,test
17,7259,3785,3474,0.07839615085555098,0.04431764447029986,0.03407850638525112,0.024058048911081795,0.07387876706123324,helps,starting_hash,L,epa,target_epa,test
3,801,399,402,0.010014701402344582,0.1457699673518653,-0.13575526594952067,-0.18754687389958663,-0.053247208628951825,hurts,starting_hash,M,epa,target_epa,test
16,6615,3327,3288,0.03311054743063863,0.03219366482421082,0.0009168826064278046,-0.05847078368595375,0.02245360325451274,unclear,starting_hash,R,epa,target_epa,test
12,4049,1616,2433,-0.03636795175326146,0.013608948200145465,-0.04997689995340693,-0.09903343395317663,0.02549833176773928,unclear,box_bucket,light_box,epa,target_epa,test
23,11955,6418,5537,0.07853274596411303,0.06389114476259232,0.0146416012015207,-0.021665341577745134,0.02057506741569039,unclear,box_bucket,standard_box,epa,target_epa,test
